,TICKER,CIK,YEAR,YEAR-1 ROE,ROE,YEAR+1 ROE,YEAR-1 ASSET,ASSET,YEAR+1 ASSET,YEAR-1 REVENUE,REVENUE,YEAR+1 REVENUE,YEAR-1 NET INCOME,NET INCOME,YEAR+1 NET INCOME,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END,Y-1 PROFIT MARGIN,Y PROFIT MARGIN,Y+1 PROFIT MARGIN,CURRENT REVENUE YOY,NEXT REVENUE YOY,CURRENT PROFIT MARGIN YOY,NEXT PROFIT MARGIN YOY,CURRENT ROE YOY,FUTURE ROE YOY
0,A US,0001090872,2002,3.185646283,-20.06610927,-55.24090726,7986.0,8203.0,6297.0,8396.0,6010.0,6056.0,174.0,-1032.0,-2058.0,0000891618-02-005622,10-K,2002-10-31,2002-12-20,Not found,AGILENT TECHNOLOGIES INC,1031,0.0207241543592186,-0.1717138103161397,-0.3398282694848084,0.2446544151641239,0.0134184561810795,nan,-0.1681144591686686,-23.251755553,-35.17479799
1,A US,0001090872,2003,-20.06610927,-55.24090726,11.54387611,8203.0,6297.0,7144.0,6010.0,6056.0,5160.0,-1032.0,-2058.0,369.0,0001193125-03-098260,10-K,2003-10-31,2003-12-22,Not found,AGILENT TECHNOLOGIES INC,1031,-0.1717138103161397,-0.3398282694848084,0.0715116279069767,0.0134184561810795,-0.0811857146129704,-0.1681144591686686,0.4113398973917851,-35.17479799,66.78478337
2,A US,0001090872,2006,8.549019608,85.57381291,18.54112177,6751.0,7369.0,7554.0,4685.0,4973.0,5420.0,327.0,3307.0,638.0,0001047469-06-015256,10-K,2006-10-31,2006-12-22,20061222,AGILENT TECHNOLOGIES INC,1031,0.0697972251867662,0.6649909511361352,0.1177121771217712,-0.0070188027671574,0.1656109210392602,1.0048192206209436,-0.547278774014364,77.024793302,-67.03269114
3,A US,0001090872,2007,85.57381291,18.54112177,23.92542724,7369.0,7554.0,7437.0,4973.0,5420.0,5774.0,3307.0,638.0,693.0,0001047469-07-010272,10-K,2007-10-31,2007-12-21,20071221,AGILENT TECHNOLOGIES INC,1031,0.6649909511361352,0.1177121771217712,0.1200207828195358,0.230126901094643,-0.0077646354716268,-0.547278774014364,0.0023086056977646,-67.03269114,5.384305470000001
4,A US,0001090872,2008,18.54112177,23.92542724,-1.224086871,7554.0,7437.0,7612.0,5420.0,5774.0,4481.0,638.0,693.0,-31.0,0001047469-08-013312,10-K,2008-10-31,2008-12-19,20081219,AGILENT TECHNOLOGIES INC,1031,0.1177121771217712,0.1200207828195358,-0.0069180986386967,-0.0077646354716268,nan,0.0023086056977646,-0.1269388814582325,5.384305470000001,-25.149514111000002
5,A US,0001090872,2010,-1.224086871,23.85769097,26.85774947,7612.0,9696.0,9057.0,4481.0,5444.0,6615.0,-31.0,684.0,1012.0,0001047469-10-010499,10-K,2010-10-31,2010-12-20,20101217,AGILENT TECHNOLOGIES INC,1031,-0.0069180986386967,0.1256429096252755,0.1529856386999244,nan,nan,0.0056221268057396,0.0273427290746488,25.081777841,3.0000585000000015
6,A US,0001090872,2011,23.85769097,26.85774947,24.29926238,9696.0,9057.0,10536.0,5444.0,6615.0,6858.0,684.0,1012.0,1153.0,0001047469-11-010124,10-K,2011-10-31,2011-12-16,20111216,AGILENT TECHNOLOGIES INC,1031,0.1256429096252755,0.1529856386999244,0.1681248177311169,nan,nan,0.0273427290746488,0.0151391790311925,3.0000585000000015,-2.5584870900000034
7,A US,0001090872,2012,26.85774947,24.29926238,14.02369125,9057.0,10536.0,10686.0,6615.0,6858.0,3894.0,1012.0,1153.0,734.0,0001090872-12-000018,10-K,2012-10-31,2012-12-20,20121220,AGILENT TECHNOLOGIES INC,1031,0.1529856386999244,0.1681248177311169,0.1884951206985105,nan,nan,0.0151391790311925,0.0203703029673935,-2.5584870900000034,-10.275571129999998
8,A US,0001090872,2013,24.29926238,14.02369125,10.37120997,10536.0,10686.0,10815.0,6858.0,3894.0,4048.0,1153.0,734.0,549.0,0001090872-13-000029,10-K,2013-10-31,2013-12-19,20131219,AGILENT TECHNOLOGIES INC,1031,0.1681248177311169,0.1884951206985105,0.1356225296442687,nan,nan,0.0203703029673935,-0.0528725910542417,-10.275571129999998,-3.65248128
9,A US,0001090872,2014,14.02369125,10.37120997,8.470637938,10686.0,10815.0,7479.0,3894.0,4048.0,4038.0,734.0,549.0,401.0,0001090872-14-000045,10-K,2014-10-31,2014-12-22,20141222,AGILENT TECHNOLOGIES INC,1031,0.1884951206985105,0.1356225296442687,0.0993065874195146,nan,0.0454280236725848,-0.0528725910542417,-0.0363159422247541,-3.65248128,-1.9005720320000012
